"","Country.Name","Country.Code","Indicator.Name","Indicator.Code","X2015","mathScores","readingScores","scienceScores"
"120444","Bulgaria","BGR","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS",54.0999984741211,441.1899,431.7175,445.772
"120461","Bulgaria","BGR","Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)","SG.LAW.NODC.HR",1,441.1899,431.7175,445.772
"120470","Bulgaria","BGR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",74.4658536585366,441.1899,431.7175,445.772
"120545","Bulgaria","BGR","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS",1.31645318203049,441.1899,431.7175,445.772
"120687","Bulgaria","BGR","Number of infant deaths","SH.DTH.IMRT",470,441.1899,431.7175,445.772
"120748","Bulgaria","BGR","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3",28.12871472,441.1899,431.7175,445.772
"120937","Bulgaria","BGR","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS",3.4,441.1899,431.7175,445.772
"121004","Bulgaria","BGR","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS",80.8553989053667,441.1899,431.7175,445.772
"121117","Bulgaria","BGR","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5",15.9,441.1899,431.7175,445.772
"129663","Canada","CAN","GDP (constant 2010 US$)","NY.GDP.MKTP.KD",1796369375909.66,515.6474,526.6678,527.7047
"129844","Canada","CAN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5",1.7,515.6474,526.6678,527.7047
"129894","Canada","CAN","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS",65.8000030517578,515.6474,526.6678,527.7047
"129911","Canada","CAN","Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)","SG.LAW.NODC.HR",0,515.6474,526.6678,527.7047
"129920","Canada","CAN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",82.1290243902439,515.6474,526.6678,527.7047
"129995","Canada","CAN","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS",0.986422266114119,515.6474,526.6678,527.7047
"130137","Canada","CAN","Number of infant deaths","SH.DTH.IMRT",1737,515.6474,526.6678,527.7047
"130198","Canada","CAN","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3",7.178847511,515.6474,526.6678,527.7047
"130387","Canada","CAN","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS",2.5,515.6474,526.6678,527.7047
"130454","Canada","CAN","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS",86.2578390375624,515.6474,526.6678,527.7047
"130567","Canada","CAN","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5",12.3,515.6474,526.6678,527.7047
"137538","Chile","CHL","GDP (constant 2010 US$)","NY.GDP.MKTP.KD",264790353124.989,422.6714,458.5709,446.9561
"137719","Chile","CHL","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5",NA,422.6714,458.5709,446.9561
"137769","Chile","CHL","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS",59.7999992370605,422.6714,458.5709,446.9561
"137786","Chile","CHL","Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)","SG.LAW.NODC.HR",0,422.6714,458.5709,446.9561
"137795","Chile","CHL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",79.1606829268293,422.6714,458.5709,446.9561
"137870","Chile","CHL","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS",1.91197747100313,422.6714,458.5709,446.9561
"138012","Chile","CHL","Number of infant deaths","SH.DTH.IMRT",1744,422.6714,458.5709,446.9561
"138073","Chile","CHL","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3",20.94195715,422.6714,458.5709,446.9561
"138262","Chile","CHL","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS",3.7,422.6714,458.5709,446.9561
"138329","Chile","CHL","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS",66.9514512612475,422.6714,458.5709,446.9561
"138442","Chile","CHL","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5",9.9,422.6714,458.5709,446.9561
